Symbol,DATE,CLOSE
INFRATEL,27-Feb-20,223.1
CIPLA,27-Feb-20,421.2
ADANIPORTS,27-Feb-20,353.7
RELIANCE,26-Feb-20,1392
SBIN,26-Feb-20,328.2
ICICIBANK,26-Feb-20,523.7
HDFCBANK,26-Feb-20,1199.25
BPCL,26-Feb-20,448.8
YESBANK,26-Feb-20,36.55
BAJFINANCE,26-Feb-20,9387
INDUSINDBK,26-Feb-20,1135
HDFC,26-Feb-20,2281.45
TCS,26-Feb-20,2123.6
AXISBANK,26-Feb-20,729.4
LT,26-Feb-20,1211.15
TATAMOTORS,26-Feb-20,144.55
KOTAKBANK,26-Feb-20,1666.5
BHARTIARTL,26-Feb-20,535.95
INFY,26-Feb-20,782.75
POWERGRID,26-Feb-20,185.85
MARUTI,26-Feb-20,6234.85
ONGC,26-Feb-20,95.8
TATASTEEL,26-Feb-20,416.3
ASIANPAINT,26-Feb-20,1826.65
HINDUNILVR,26-Feb-20,2236.2
SUNPHARMA,26-Feb-20,374.7
NTPC,26-Feb-20,109.1
ZEEL,26-Feb-20,251.4
COALINDIA,26-Feb-20,173.8
ITC,26-Feb-20,198.6
VEDL,26-Feb-20,130.25
EICHERMOT,26-Feb-20,17156.95
IOC,26-Feb-20,108.35
DRREDDY,26-Feb-20,3075.35
BAJAJFINSV,26-Feb-20,9387
TITAN,26-Feb-20,1255.1
TECHM,26-Feb-20,811.45
ULTRACEMCO,26-Feb-20,4341.5
UPL,26-Feb-20,563
M&M,26-Feb-20,503
HCLTECH,26-Feb-20,583.6
NESTLEIND,26-Feb-20,16240.15
WIPRO,26-Feb-20,239.9
BAJAJ-AUTO,26-Feb-20,2946.6
BRITANNIA,26-Feb-20,3041.35
JSWSTEEL,26-Feb-20,260.8
GRASIM,26-Feb-20,702.8
GAIL,26-Feb-20,108.05
HEROMOTOCO,26-Feb-20,2142.55
HINDALCO,26-Feb-20,169.9
INFRATEL,26-Feb-20,218.75
CIPLA,26-Feb-20,422.2
ADANIPORTS,26-Feb-20,358.4
RELIANCE,25-Feb-20,1416.4
SBIN,25-Feb-20,326.8
ICICIBANK,25-Feb-20,530.95
HDFCBANK,25-Feb-20,1200.3
BPCL,25-Feb-20,456.75
YESBANK,25-Feb-20,35.15
BAJFINANCE,25-Feb-20,9525
INDUSINDBK,25-Feb-20,1153.85
HDFC,25-Feb-20,2302.6
TCS,25-Feb-20,2156.15
AXISBANK,25-Feb-20,728.75
LT,25-Feb-20,1242.05
TATAMOTORS,25-Feb-20,149.9
KOTAKBANK,25-Feb-20,1675.8
BHARTIARTL,25-Feb-20,535.25
INFY,25-Feb-20,798.4
POWERGRID,25-Feb-20,186.15
MARUTI,25-Feb-20,6414.55
ONGC,25-Feb-20,97.55
TATASTEEL,25-Feb-20,421.3
ASIANPAINT,25-Feb-20,1826.1
HINDUNILVR,25-Feb-20,2233.6
SUNPHARMA,25-Feb-20,388.9
NTPC,25-Feb-20,110.1
ZEEL,25-Feb-20,251.9
COALINDIA,25-Feb-20,175.1
ITC,25-Feb-20,201.8
VEDL,25-Feb-20,132.7
EICHERMOT,25-Feb-20,17532.3
IOC,25-Feb-20,110.45
DRREDDY,25-Feb-20,3086.9
BAJAJFINSV,25-Feb-20,9525
TITAN,25-Feb-20,1260.1
TECHM,25-Feb-20,822.1
ULTRACEMCO,25-Feb-20,4344
UPL,25-Feb-20,566.35
M&M,25-Feb-20,508.95
HCLTECH,25-Feb-20,582.45
NESTLEIND,25-Feb-20,16380.5
WIPRO,25-Feb-20,244.1
BAJAJ-AUTO,25-Feb-20,2947.4
BRITANNIA,25-Feb-20,3033.55
JSWSTEEL,25-Feb-20,262.6
GRASIM,25-Feb-20,720.4
GAIL,25-Feb-20,114
HEROMOTOCO,25-Feb-20,2184.15
HINDALCO,25-Feb-20,174.45
INFRATEL,25-Feb-20,216.3
CIPLA,25-Feb-20,425.8
ADANIPORTS,25-Feb-20,358.4
RELIANCE,24-Feb-20,1444.95
SBIN,24-Feb-20,322.95
ICICIBANK,24-Feb-20,529.85
HDFCBANK,24-Feb-20,1209.95
BPCL,24-Feb-20,464.65
YESBANK,24-Feb-20,34.95
BAJFINANCE,24-Feb-20,9466.9
INDUSINDBK,24-Feb-20,1170.25
HDFC,24-Feb-20,2292.3
TCS,24-Feb-20,2115.35
AXISBANK,24-Feb-20,725.45
LT,24-Feb-20,1259.7
TATAMOTORS,24-Feb-20,150.65
KOTAKBANK,24-Feb-20,1678.25
BHARTIARTL,24-Feb-20,529.9
INFY,24-Feb-20,795.85
POWERGRID,24-Feb-20,186.1
MARUTI,24-Feb-20,6470.4
ONGC,24-Feb-20,98.05
TATASTEEL,24-Feb-20,415.45
ASIANPAINT,24-Feb-20,1818.95
HINDUNILVR,24-Feb-20,2215.15
SUNPHARMA,24-Feb-20,397.85
NTPC,24-Feb-20,109.7
ZEEL,24-Feb-20,249.1
COALINDIA,24-Feb-20,174.85
ITC,24-Feb-20,203
VEDL,24-Feb-20,133.2
EICHERMOT,24-Feb-20,17949.95
IOC,24-Feb-20,110.55
DRREDDY,24-Feb-20,3176.3
BAJAJFINSV,24-Feb-20,9466.9
TITAN,24-Feb-20,1279.9
TECHM,24-Feb-20,820.1
ULTRACEMCO,24-Feb-20,4395
UPL,24-Feb-20,573.25
M&M,24-Feb-20,513.2
HCLTECH,24-Feb-20,595.15
NESTLEIND,24-Feb-20,16337.25
WIPRO,24-Feb-20,244.2
BAJAJ-AUTO,24-Feb-20,2980.5
BRITANNIA,24-Feb-20,3036.2
JSWSTEEL,24-Feb-20,258.95
GRASIM,24-Feb-20,724.9
GAIL,24-Feb-20,116.8
HEROMOTOCO,24-Feb-20,2184.2
HINDALCO,24-Feb-20,179.05
INFRATEL,24-Feb-20,215.95
CIPLA,24-Feb-20,430.15
ADANIPORTS,24-Feb-20,362.25
RELIANCE,20-Feb-20,1485.95
SBIN,20-Feb-20,327.65
ICICIBANK,20-Feb-20,547
HDFCBANK,20-Feb-20,1217.1
BPCL,20-Feb-20,471.75
YESBANK,20-Feb-20,35.45
BAJFINANCE,20-Feb-20,9709.7
INDUSINDBK,20-Feb-20,1182.2
HDFC,20-Feb-20,2369.5
TCS,20-Feb-20,2156.8
AXISBANK,20-Feb-20,744.3
LT,20-Feb-20,1280.6
TATAMOTORS,20-Feb-20,158.5
KOTAKBANK,20-Feb-20,1685.95
BHARTIARTL,20-Feb-20,545.6
INFY,20-Feb-20,797
POWERGRID,20-Feb-20,189.25
MARUTI,20-Feb-20,6757.6
ONGC,20-Feb-20,102.8
TATASTEEL,20-Feb-20,443.55
ASIANPAINT,20-Feb-20,1842.25
HINDUNILVR,20-Feb-20,2248.25
SUNPHARMA,20-Feb-20,404.95
NTPC,20-Feb-20,111.35
ZEEL,20-Feb-20,256.8
COALINDIA,20-Feb-20,179.35
ITC,20-Feb-20,207.45
VEDL,20-Feb-20,142.35
EICHERMOT,20-Feb-20,18848.65
IOC,20-Feb-20,112.3
DRREDDY,20-Feb-20,3255.3
BAJAJFINSV,20-Feb-20,9709.7
TITAN,20-Feb-20,1322.85
TECHM,20-Feb-20,829.6
ULTRACEMCO,20-Feb-20,4428.1
UPL,20-Feb-20,584.35
M&M,20-Feb-20,524.85
HCLTECH,20-Feb-20,608.05
NESTLEIND,20-Feb-20,16539.5
WIPRO,20-Feb-20,245.7
BAJAJ-AUTO,20-Feb-20,3065.5
BRITANNIA,20-Feb-20,3059.4
JSWSTEEL,20-Feb-20,281.8
GRASIM,20-Feb-20,751.3
GAIL,20-Feb-20,119.3
HEROMOTOCO,20-Feb-20,2240.25
HINDALCO,20-Feb-20,189.95
INFRATEL,20-Feb-20,226.2
CIPLA,20-Feb-20,435.75
ADANIPORTS,20-Feb-20,370.85
RELIANCE,19-Feb-20,1503.8
SBIN,19-Feb-20,320.35
ICICIBANK,19-Feb-20,544.8
HDFCBANK,19-Feb-20,1227.2
BPCL,19-Feb-20,475.55
YESBANK,19-Feb-20,35.3
BAJFINANCE,19-Feb-20,9758.65
INDUSINDBK,19-Feb-20,1142.15
HDFC,19-Feb-20,2377.25
TCS,19-Feb-20,2196.35
AXISBANK,19-Feb-20,741.05
LT,19-Feb-20,1281.4
TATAMOTORS,19-Feb-20,158.05
KOTAKBANK,19-Feb-20,1701.1
BHARTIARTL,19-Feb-20,543.4
INFY,19-Feb-20,800.45
POWERGRID,19-Feb-20,187.5
MARUTI,19-Feb-20,6756.6
ONGC,19-Feb-20,101.7
TATASTEEL,19-Feb-20,433.2
ASIANPAINT,19-Feb-20,1884.9
HINDUNILVR,19-Feb-20,2292.15
SUNPHARMA,19-Feb-20,403.55
NTPC,19-Feb-20,112.05
ZEEL,19-Feb-20,252.25
COALINDIA,19-Feb-20,177.75
ITC,19-Feb-20,206.7
VEDL,19-Feb-20,142.65
EICHERMOT,19-Feb-20,18875.2
IOC,19-Feb-20,114.2
DRREDDY,19-Feb-20,3278.15
BAJAJFINSV,19-Feb-20,9758.65
TITAN,19-Feb-20,1329.6
TECHM,19-Feb-20,840.9
ULTRACEMCO,19-Feb-20,4473.1
UPL,19-Feb-20,585.2
M&M,19-Feb-20,526.4
HCLTECH,19-Feb-20,605.75
NESTLEIND,19-Feb-20,16785.05
WIPRO,19-Feb-20,247.6
BAJAJ-AUTO,19-Feb-20,3090.9
BRITANNIA,19-Feb-20,3082.25
JSWSTEEL,19-Feb-20,280.85
GRASIM,19-Feb-20,757.15
GAIL,19-Feb-20,119.85
HEROMOTOCO,19-Feb-20,2251.6
HINDALCO,19-Feb-20,188.1
INFRATEL,19-Feb-20,225.1
CIPLA,19-Feb-20,447.5
ADANIPORTS,19-Feb-20,371.3
RELIANCE,18-Feb-20,1467.4
SBIN,18-Feb-20,317.55
ICICIBANK,18-Feb-20,541.2
HDFCBANK,18-Feb-20,1213.25
BPCL,18-Feb-20,470.75
YESBANK,18-Feb-20,35.05
BAJFINANCE,18-Feb-20,9529.5
INDUSINDBK,18-Feb-20,1140.7
